STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
51,001,Accomack,Virginia,33164,+37.784132,-075.641008
51,003,Albemarle,Virginia,98970,+38.050160,-078.516763
51,005,Alleghany,Virginia,16250,+37.800535,-079.929401
51,007,Amelia,Virginia,12690,+37.341681,-077.977011
51,009,Amherst,Virginia,32353,+37.519237,-079.102718
51,011,Appomattox,Virginia,14973,+37.359958,-078.833953
51,013,Arlington,Virginia,207627,+38.874900,-077.100820
51,015,Augusta,Virginia,73750,+38.128030,-079.032141
51,017,Bath,Virginia,4731,+38.017866,-079.764614
51,019,Bedford,Virginia,68676,+37.314607,-079.497893
51,021,Bland,Virginia,6824,+37.150725,-081.089354
51,023,Botetourt,Virginia,33148,+37.448222,-079.851418
51,025,Brunswick,Virginia,17434,+36.756799,-077.860740
51,027,Buchanan,Virginia,24098,+37.264125,-082.058814
51,029,Buckingham,Virginia,17146,+37.582102,-078.483454
51,031,Campbell,Virginia,54842,+37.257950,-079.165807
51,033,Caroline,Virginia,28545,+38.008601,-077.433166
51,035,Carroll,Virginia,30042,+36.712893,-080.763589
51,036,Charles City,Virginia,7256,+37.381884,-077.102373
51,037,Charlotte,Virginia,12586,+37.017568,-078.630844
51,041,Chesterfield,Virginia,316236,+37.418224,-077.550555
51,043,Clarke,Virginia,14034,+39.129687,-077.988093
51,045,Craig,Virginia,5190,+37.476038,-080.174522
51,047,Culpeper,Virginia,46689,+38.500155,-077.997848
51,049,Cumberland,Virginia,10052,+37.483249,-078.257306
51,051,Dickenson,Virginia,15903,+37.142003,-082.379283
51,053,Dinwiddie,Virginia,28001,+37.135094,-077.560538
51,057,Essex,Virginia,11151,+37.911272,-076.905490
51,059,Fairfax,Virginia,1081726,+38.843734,-077.258936
51,061,Fauquier,Virginia,65203,+38.696041,-077.777194
51,063,Floyd,Virginia,15279,+36.944158,-080.342686
51,065,Fluvanna,Virginia,25691,+37.888175,-078.301879
51,067,Franklin,Virginia,56159,+37.016004,-079.861232
51,069,Frederick,Virginia,78305,+39.168677,-078.193089
51,071,Giles,Virginia,17286,+37.317609,-080.716890
51,073,Gloucester,Virginia,36858,+37.377825,-076.530947
51,075,Goochland,Virginia,21717,+37.703091,-077.851860
51,077,Grayson,Virginia,15533,+36.648239,-081.119300
51,079,Greene,Virginia,18403,+38.254353,-078.422182
51,081,Greensville,Virginia,12243,+36.721194,-077.537371
51,083,Halifax,Virginia,36241,+36.750030,-078.927107
51,085,Hanover,Virginia,99863,+37.687345,-077.420161
51,087,Henrico,Virginia,306935,+37.602760,-077.495683
51,089,Henry,Virginia,54151,+36.690407,-079.903132
51,091,Highland,Virginia,2321,+38.386074,-079.568796
51,093,Isle of Wight,Virginia,35270,+36.921892,-076.655375
51,095,James City,Virginia,67009,+37.294786,-076.757657
51,097,King and Queen,Virginia,6945,+37.699158,-076.892370
51,099,King George,Virginia,23584,+38.291254,-077.162858
51,101,King William,Virginia,15935,+37.702616,-077.056730
51,103,Lancaster,Virginia,11391,+37.703890,-076.437123
51,105,Lee,Virginia,25587,+36.715746,-083.103165
51,107,Loudoun,Virginia,312311,+39.047874,-077.510676
51,109,Louisa,Virginia,33153,+37.979376,-077.965373
51,111,Lunenburg,Virginia,12914,+36.970055,-078.216530
51,113,Madison,Virginia,13308,+38.378917,-078.235160
51,115,Mathews,Virginia,8978,+37.444144,-076.342952
51,117,Mecklenburg,Virginia,32727,+36.691889,-078.320815
51,119,Middlesex,Virginia,10959,+37.601651,-076.504547
51,121,Montgomery,Virginia,94392,+37.189631,-080.412336
51,125,Nelson,Virginia,15020,+37.810028,-078.871691
51,127,New Kent,Virginia,18429,+37.497253,-077.037031
51,131,Northampton,Virginia,12389,+37.389508,-075.917594
51,133,Northumberland,Virginia,12330,+37.890865,-076.414247
51,135,Nottoway,Virginia,15853,+37.144866,-078.075207
51,137,Orange,Virginia,33481,+38.267152,-077.966785
51,139,Page,Virginia,24042,+38.604441,-078.500392
51,141,Patrick,Virginia,18490,+36.655724,-080.282113
51,143,Pittsylvania,Virginia,63506,+36.772086,-079.409643
51,145,Powhatan,Virginia,28046,+37.546342,-077.872664
51,147,Prince Edward,Virginia,23368,+37.259323,-078.423416
51,149,Prince George,Virginia,35725,+37.215406,-077.293227
51,153,Prince William,Virginia,402002,+38.691636,-077.409683
51,155,Pulaski,Virginia,34872,+37.081529,-080.705779
51,157,Rappahannock,Virginia,7373,+38.692393,-078.124495
51,159,Richmond,Virginia,9254,+37.948660,-076.715071
51,161,Roanoke,Virginia,92376,+37.271414,-079.989575
51,163,Rockbridge,Virginia,22307,+37.786365,-079.428059
51,165,Rockingham,Virginia,76314,+38.454851,-078.837195
51,167,Russell,Virginia,28897,+36.935284,-082.090612
51,169,Scott,Virginia,23177,+36.684532,-082.594258
51,171,Shenandoah,Virginia,41993,+38.868250,-078.529664
51,173,Smyth,Virginia,32208,+36.829257,-081.574231
51,175,Southampton,Virginia,18570,+36.714730,-077.070645
51,177,Spotsylvania,Virginia,122397,+38.238928,-077.571234
51,179,Stafford,Virginia,128961,+38.416536,-077.447823
51,181,Surry,Virginia,7058,+37.118648,-076.867196
51,183,Sussex,Virginia,12087,+36.972121,-077.210307
51,185,Tazewell,Virginia,45078,+37.147549,-081.566563
51,187,Warren,Virginia,37575,+38.925068,-078.179261
51,191,Washington,Virginia,54876,+36.703579,-081.972246
51,193,Westmoreland,Virginia,17454,+38.155269,-076.844011
51,195,Wise,Virginia,41452,+36.952922,-082.609349
51,197,Wythe,Virginia,29235,+36.919123,-081.066298
51,199,York,Virginia,65464,+37.172279,-076.491930
51,510,Alexandria,Virginia,139966,+38.820052,-077.092560
51,515,Bedford,Virginia,6222,+37.337281,-079.520701
51,520,Bristol,Virginia,17835,+36.610479,-082.169512
51,530,Buena Vista,Virginia,6650,+37.734133,-079.352493
51,540,Charlottesville,Virginia,43475,+38.033545,-078.490591
51,550,Chesapeake,Virginia,222209,+36.757515,-076.282263
51,570,Colonial Heights,Virginia,17411,+37.264094,-077.401027
51,580,Covington,Virginia,5961,+37.781277,-079.989340
51,590,Danville,Virginia,43055,+36.591119,-079.409867
51,595,Emporia,Virginia,5927,+36.691841,-077.541306
51,600,Fairfax,Virginia,22565,+38.852046,-077.302597
51,610,Falls Church,Virginia,12332,+38.883689,-077.173924
51,620,Franklin,Virginia,8582,+36.678687,-076.936518
51,630,Fredericksburg,Virginia,24286,+38.298644,-077.480900
51,640,Galax,Virginia,7042,+36.665998,-080.918362
51,650,Hampton,Virginia,137436,+37.042681,-076.366965
51,660,Harrisonburg,Virginia,48914,+38.440627,-078.868871
51,670,Hopewell,Virginia,22591,+37.289087,-077.304582
51,678,Lexington,Virginia,7042,+37.784093,-079.442982
51,680,Lynchburg,Virginia,75568,+37.394382,-079.188942
51,683,Manassas,Virginia,37821,+38.753009,-077.474795
51,685,Manassas Park,Virginia,14273,+38.772139,-077.448892
51,690,Martinsville,Virginia,13821,+36.683587,-079.864820
51,700,Newport News,Virginia,180719,+37.089637,-076.495942
51,710,Norfolk,Virginia,242803,+36.891356,-076.262277
51,720,Norton,Virginia,3958,+36.938169,-082.624348
51,730,Petersburg,Virginia,32420,+37.210514,-077.396848
51,735,Poquoson,Virginia,12150,+37.131625,-076.381322
51,740,Portsmouth,Virginia,95535,+36.833227,-076.353890
51,750,Radford,Virginia,16408,+37.128676,-080.558831
51,760,Richmond,Virginia,204214,+37.535790,-077.466976
51,770,Roanoke,Virginia,97032,+37.278728,-079.960131
51,775,Salem,Virginia,24802,+37.286115,-080.055730
51,790,Staunton,Virginia,23746,+38.157796,-079.077956
51,800,Suffolk,Virginia,84585,+36.776711,-076.556872
51,810,Virginia Beach,Virginia,437994,+36.821554,-076.099445
51,820,Waynesboro,Virginia,21006,+38.072013,-078.896755
51,830,Williamsburg,Virginia,14068,+37.275866,-076.713075
51,840,Winchester,Virginia,26203,+39.175174,-078.170343
