"","id","NAME","variable","Percentage","moe","key","District"
"1","5115793823","Hampton district, Rappahannock County, Virginia","S2801_C02_002",94.2,5.6,"Computer","Hampton"
"2","5115793823","Hampton district, Rappahannock County, Virginia","S2801_C02_011",5.8,5.6,"No Computer","Hampton"
"3","5115794007","Jackson district, Rappahannock County, Virginia","S2801_C02_002",96.1,4.4,"Computer","Jackson"
"4","5115794007","Jackson district, Rappahannock County, Virginia","S2801_C02_011",3.9,4.4,"No Computer","Jackson"
"5","5115795063","Piedmont district, Rappahannock County, Virginia","S2801_C02_002",88.1,9,"Computer","Piedmont"
"6","5115795063","Piedmont district, Rappahannock County, Virginia","S2801_C02_011",11.9,9,"No Computer","Piedmont"
"7","5115795967","Stonewall-Hawthorne district, Rappahannock County, Virginia","S2801_C02_002",78.7,11.5,"Computer","Stonewall-Hawthorne"
"8","5115795967","Stonewall-Hawthorne district, Rappahannock County, Virginia","S2801_C02_011",21.3,11.5,"No Computer","Stonewall-Hawthorne"
"9","5115796199","Wakefield district, Rappahannock County, Virginia","S2801_C02_002",83.9,7.9,"Computer","Wakefield"
"10","5115796199","Wakefield district, Rappahannock County, Virginia","S2801_C02_011",16.1,7.9,"No Computer","Wakefield"
